table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",incident_date,11,timestamp with time zone,t,,When force was used. Extracted out of form_response into its own column so it can be indexed and searched. Places a named prisoner at a point in time.,PERSONAL,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",agency_id,12,character varying(6),t,,"Prison the incident happened at, as a NOMIS agency code such as MDI. Stamped at creation and updatable through the change-prison flow. With incident_date, locates a named prisoner.",PERSONAL,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",updated_date,13,timestamp with time zone,t,,When the report was last changed.,NONE,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",deleted,14,timestamp with time zone,t,,Soft-delete tombstone. Non-null rows are filtered out by the v_report view; nothing is physically removed.,NONE,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",completed_date,15,timestamp with time zone,t,,Intended to record when every required statement had been submitted. Added October 2025 and not yet written or read by anything - do not rely on it.,NONE,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",id,1,integer,f,nextval('report_edit_id_seq'::regclass),Primary key.,NONE,Y,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",edit_date,2,timestamp with time zone,f,CURRENT_TIMESTAMP,When the edit was made. Originally named timestamp.,NONE,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",editor_user_id,3,character varying(32),f,,HMPPS username of the coordinator who made the edit. Originally named user_id.,STAFF,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",editor_name,4,character varying(128),f,,Display name of that coordinator. Originally named user_name.,STAFF,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",report_id,5,bigint,f,,The report that was edited. Not a declared foreign key - see the table comment.,NONE,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",reason,11,character varying(128),f,,"Coded reason for the edit, covering the edit, add-staff, remove-staff and delete-report journeys. See reference-data.csv for the permitted values.",NONE,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",additional_comments,12,character varying(1000),t,,"Free text from the coordinator expanding on the edit. Not a health or offence question in itself, but free text about a named prisoner's report and capable of carrying that detail.",PERSONAL,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",report_owner_changed,13,boolean,t,false,Whether this edit reassigned the report to a different reporting officer.,NONE,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",changes,14,jsonb,f,'{}'::jsonb,"What the edit changed, as JSON keyed by field, each entry holding oldValue, newValue and the question text. Contains arbitrary before and after slices of the report, including involved staff and the relocation and injuries answers. See docs/report-payload.md.",SPECIAL-CATEGORY,N,
report_edit,TABLE,"History of post-submission edits made through the coordinator edit flow. Its primary key constraint is named pk_edit. As with report_log, report_id has NO foreign key to report, so edit history survives a soft-delete and SchemaSpy draws no relationship line.",reason_text,15,text,t,,"Free text supplied when the coded reason is ""another reason"". Same caveat as additional_comments.",PERSONAL,N,
report_log,TABLE,"Audit trail of what happened to a report. Its primary key constraint is named pk_audit. report_id is a plain bigint with NO foreign key to report, deliberately, so audit rows survive the report being soft-deleted - which is why SchemaSpy draws this table with no relationship line to report.",id,1,integer,f,nextval('report_log_id_seq'::regclass),Primary key.,NONE,Y,
report_log,TABLE,"Audit trail of what happened to a report. Its primary key constraint is named pk_audit. report_id is a plain bigint with NO foreign key to report, deliberately, so audit rows survive the report being soft-deleted - which is why SchemaSpy draws this table with no relationship line to report.",timestamp,2,timestamp with time zone,f,CURRENT_TIMESTAMP,When the action happened.,NONE,N,
report_log,TABLE,"Audit trail of what happened to a report. Its primary key constraint is named pk_audit. report_id is a plain bigint with NO foreign key to report, deliberately, so audit rows survive the report being soft-deleted - which is why SchemaSpy draws this table with no relationship line to report.",username,3,character varying(50),f,,"HMPPS username of the person who acted, or the literal SYSTEM for automatic status transitions.",STAFF,N,
report_log,TABLE,"Audit trail of what happened to a report. Its primary key constraint is named pk_audit. report_id is a plain bigint with NO foreign key to report, deliberately, so audit rows survive the report being soft-deleted - which is why SchemaSpy draws this table with no relationship line to report.",report_id,4,bigint,f,,The report acted on. Not a declared foreign key - see the table comment.,NONE,N,
report_log,TABLE,"Audit trail of what happened to a report. Its primary key constraint is named pk_audit. report_id is a plain bigint with NO foreign key to report, deliberately, so audit rows survive the report being soft-deleted - which is why SchemaSpy draws this table with no relationship line to report.",action,5,character varying(50),f,,"What happened: REPORT_CREATED, REPORT_MODIFIED, REPORT_DELETED, REPORT_SUBMITTED, REPORT_STATUS_CHANGED or REPORT_COMPLETED. See reference-data.csv.",NONE,N,
report_log,TABLE,"Audit trail of what happened to a report. Its primary key constraint is named pk_audit. report_id is a plain bigint with NO foreign key to report, deliberately, so audit rows survive the report being soft-deleted - which is why SchemaSpy draws this table with no relationship line to report.",details,6,jsonb,t,,"Context for the action, as JSON. For REPORT_MODIFIED this holds originalSection and updatedSection - whole before and after slices of report.form_response - so it carries the same incident, injury and healthcare content as the report itself.",SPECIAL-CATEGORY,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",id,1,integer,f,nextval('involved_staff_id_seq'::regclass),Primary key. The sequence is still named involved_staff_id_seq after the original table name.,NONE,Y,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",report_id,2,integer,f,,The report this statement belongs to. Foreign key to report(id) with ON DELETE CASCADE.,NONE,N,report
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",user_id,3,character varying(255),t,,HMPPS username of the officer the statement is required from.,STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",name,4,character varying(255),t,,Display name of that officer.,STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",email,5,character varying(255),t,,Email address used to send statement reminders. May be backfilled later by the reminder job rather than set at creation.,STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",submitted_date,6,timestamp with time zone,t,,When the officer submitted their statement. Null while still outstanding.,NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",statement_status,7,character varying(255),f,,PENDING or SUBMITTED. See reference-data.csv.,NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",last_training_month,8,smallint,t,,"Month of the officer's most recent control and restraint training, as a ZERO-BASED index: 0 is January and 11 is December, not 1 to 12. Employment record data.",STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",last_training_year,9,smallint,t,,Year of the officer's most recent control and restraint training. Employment record data.,STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",job_start_year,10,smallint,t,,Year the officer started in the role. Employment record data.,STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",statement,11,text,t,,The officer's free-text account of the force used on a named prisoner. Routinely records injuries and the healthcare given (Article 9 health data) and describes conduct that may become a criminal or disciplinary allegation against the prisoner or the officer (Article 10).,SPECIAL-CATEGORY,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",staff_id,12,integer,t,,NOMIS staff id of the officer. Originally not-null with a -1 default; a 2019 migration made it nullable and dropped the default.,STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",created_date,13,timestamp with time zone,f,CURRENT_TIMESTAMP(6),"When the statement row was created, which is when the report was submitted.",NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",updated_date,14,timestamp with time zone,t,,When the statement was last changed.,NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",next_reminder_date,15,timestamp with time zone,t,,"When the reminder job should next chase this statement. Set to submission plus one day, advanced daily, and nulled once the statement is overdue.",NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",overdue_date,16,timestamp with time zone,t,,When the statement becomes overdue - submission plus three days.,NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",in_progress,17,boolean,f,false,Whether the officer has saved a draft of their statement without submitting it.,NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",deleted,18,timestamp with time zone,t,,Soft-delete tombstone. Non-null rows are filtered out by the v_statement view.,NONE,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",removal_requested_reason,19,text,t,,"Free text written by the member of staff themselves, asking to be removed from the report because they were not involved. Tagged STAFF because it is their own account of their own involvement, but it is free text and can carry health or personal-circumstance detail - handle it with the same care as a special category column.",STAFF,N,
statement,TABLE,"One member of staff's account of a use of force incident, created for each involved officer when the report is submitted. Originally called involved_staff, which still shows in its index names. Read and written through the v_statement view.",removal_requested_date,20,timestamp with time zone,t,,When removal from the report was requested.,NONE,N,
statement_amendments,TABLE,Additional comments added by a member of staff after their statement was submitted. A statement is never edited in place; corrections are appended here. Read and written through the v_statement_amendments view.,id,1,integer,f,nextval('statement_amendments_id_seq'::regclass),Primary key.,NONE,Y,
statement_amendments,TABLE,Additional comments added by a member of staff after their statement was submitted. A statement is never edited in place; corrections are appended here. Read and written through the v_statement_amendments view.,statement_id,2,integer,f,,The statement being amended. Foreign key to statement(id) with ON DELETE CASCADE.,NONE,N,statement
statement_amendments,TABLE,Additional comments added by a member of staff after their statement was submitted. A statement is never edited in place; corrections are appended here. Read and written through the v_statement_amendments view.,additional_comment,3,text,f,,"Free-text addition to a submitted statement. Same content and the same risks as statement.statement - an account of force used on a named prisoner, including injuries and healthcare.",SPECIAL-CATEGORY,N,
statement_amendments,TABLE,Additional comments added by a member of staff after their statement was submitted. A statement is never edited in place; corrections are appended here. Read and written through the v_statement_amendments view.,date_submitted,4,timestamp with time zone,f,CURRENT_TIMESTAMP(6),When the amendment was submitted.,NONE,N,
statement_amendments,TABLE,Additional comments added by a member of staff after their statement was submitted. A statement is never edited in place; corrections are appended here. Read and written through the v_statement_amendments view.,deleted,5,timestamp with time zone,t,,Soft-delete tombstone. Non-null rows are filtered out by the v_statement_amendments view.,NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",id,1,integer,t,,Primary key. The sequence is still named form_id_seq after the original table name.,NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",form_response,2,jsonb,t,,"The entire report as submitted, as JSON. Holds the reasons force was used, the techniques and restraint positions applied, what was observed, and the relocationAndInjuries section - which records prisoner injuries, hospitalisation, healthcare involvement, the healthcare practitioner's name and whether staff needed medical attention. Health data about both the prisoner and staff. See docs/report-payload.md for the shape, and reference-data.csv for the permitted values.",SPECIAL-CATEGORY,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",user_id,3,character varying(32),t,,HMPPS username of the officer who created the report. Nullable in the database - a 2019 migration altered the column and dropped the not-null constraint - but always populated in practice.,STAFF,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",sequence_no,4,integer,t,,Distinguishes multiple reports by the same officer against the same booking. Computed as MAX(sequence_no) + 1 for that user and booking.,NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",booking_id,5,bigint,t,,NOMIS booking id: the custody period of the prisoner force was used on. Defaults to -1 where unknown.,PERSONAL,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",created_date,6,timestamp with time zone,t,,When the report was created. Originally named start_date.,NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",status,7,character varying(20),t,,"IN_PROGRESS, SUBMITTED or COMPLETE. No check constraint - the application enforces it. See reference-data.csv.",NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",submitted_date,8,timestamp with time zone,t,,"When the reporting officer submitted the report, which is what creates the statement rows. Null while still a draft.",NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",offender_no,9,character varying(32),t,,NOMIS offender number of the prisoner force was used on. The identifier that makes every row in this schema personal data about that prisoner.,PERSONAL,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",reporter_name,10,character varying(128),t,,"Display name of the reporting officer, captured at creation so the report reads correctly even after the officer leaves.",STAFF,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",incident_date,11,timestamp with time zone,t,,When force was used. Extracted out of form_response into its own column so it can be indexed and searched. Places a named prisoner at a point in time.,PERSONAL,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",agency_id,12,character varying(6),t,,"Prison the incident happened at, as a NOMIS agency code such as MDI. Stamped at creation and updatable through the change-prison flow. With incident_date, locates a named prisoner.",PERSONAL,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",updated_date,13,timestamp with time zone,t,,When the report was last changed.,NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",deleted,14,timestamp with time zone,t,,Soft-delete tombstone. Non-null rows are filtered out by the v_report view; nothing is physically removed.,NONE,N,
v_report,VIEW,"Live reports: report filtered to deleted IS NULL. The application reads and writes through this view rather than the base table, so a soft-deleted report disappears from the service without being destroyed. It is a simple auto-updatable Postgres view, so UPDATE and INSERT work against it. Columns are as per report.",completed_date,15,timestamp with time zone,t,,Intended to record when every required statement had been submitted. Added October 2025 and not yet written or read by anything - do not rely on it.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",id,1,integer,t,,Primary key. The sequence is still named involved_staff_id_seq after the original table name.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",report_id,2,integer,t,,The report this statement belongs to. Foreign key to report(id) with ON DELETE CASCADE.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",user_id,3,character varying(255),t,,HMPPS username of the officer the statement is required from.,STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",name,4,character varying(255),t,,Display name of that officer.,STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",email,5,character varying(255),t,,Email address used to send statement reminders. May be backfilled later by the reminder job rather than set at creation.,STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",submitted_date,6,timestamp with time zone,t,,When the officer submitted their statement. Null while still outstanding.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",statement_status,7,character varying(255),t,,PENDING or SUBMITTED. See reference-data.csv.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",last_training_month,8,smallint,t,,"Month of the officer's most recent control and restraint training, as a ZERO-BASED index: 0 is January and 11 is December, not 1 to 12. Employment record data.",STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",last_training_year,9,smallint,t,,Year of the officer's most recent control and restraint training. Employment record data.,STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",job_start_year,10,smallint,t,,Year the officer started in the role. Employment record data.,STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",statement,11,text,t,,The officer's free-text account of the force used on a named prisoner. Routinely records injuries and the healthcare given (Article 9 health data) and describes conduct that may become a criminal or disciplinary allegation against the prisoner or the officer (Article 10).,SPECIAL-CATEGORY,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",staff_id,12,integer,t,,NOMIS staff id of the officer. Originally not-null with a -1 default; a 2019 migration made it nullable and dropped the default.,STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",created_date,13,timestamp with time zone,t,,"When the statement row was created, which is when the report was submitted.",NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",updated_date,14,timestamp with time zone,t,,When the statement was last changed.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",next_reminder_date,15,timestamp with time zone,t,,"When the reminder job should next chase this statement. Set to submission plus one day, advanced daily, and nulled once the statement is overdue.",NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",overdue_date,16,timestamp with time zone,t,,When the statement becomes overdue - submission plus three days.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",in_progress,17,boolean,t,,Whether the officer has saved a draft of their statement without submitting it.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",deleted,18,timestamp with time zone,t,,Soft-delete tombstone. Non-null rows are filtered out by the v_statement view.,NONE,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",removal_requested_reason,19,text,t,,"Free text written by the member of staff themselves, asking to be removed from the report because they were not involved. Tagged STAFF because it is their own account of their own involvement, but it is free text and can carry health or personal-circumstance detail - handle it with the same care as a special category column.",STAFF,N,
v_statement,VIEW,"Live statements: statement filtered to deleted IS NULL, auto-updatable, and the path the application uses. Columns are as per statement.",removal_requested_date,20,timestamp with time zone,t,,When removal from the report was requested.,NONE,N,
